insertId,jsonPayload.extra.duration,jsonPayload.extra.statusCode,jsonPayload.extra.url,jsonPayload.message,jsonPayload.module,jsonPayload.user_id,"labels.""compute.googleapis.com/resource_name""","labels.""k8s-pod/app_kubernetes_io/instance""","labels.""k8s-pod/app_kubernetes_io/name""","labels.""k8s-pod/pod-template-hash""","labels.""k8s-pod/role""",logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.container_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp,trace
1iy8442g43i9alm,0.203709,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723498296_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-1d9bbe60-3o17,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:45:25.015049538Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-w64qp,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:45:24.579196684Z,projects/passculture-metier-prod/traces/db2460c4972f04803613aa3949432b96
1c0nqt8g4jft45n,0.107733,200,https://entreprise.data.gouv.fr/api/sirene/v3/unites_legales/803834209,External service called,pcapi.utils.requests,,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:37:43.019168818Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:37:39.101622686Z,f51a9727-28d0-43a2-9a8d-bf9ded5feef4
1trdhisg4brohm4,0.111444,200,https://entreprise.data.gouv.fr/api/sirene/v3/unites_legales/528234214,External service called,pcapi.utils.requests,116216,gke-cluster-metier-p-node-pool-metier-d01006a7-url0,production,pcapi,64cd6c88bc,high-latency-api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:37:39.011802237Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-high-latency-api-64cd6c88bc-ktvqp,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:37:36.394962401Z,97a71e8b-c292-4b52-8ea2-16b1ca6b3366
166t9tdg4imnngh,0.113329,200,https://entreprise.data.gouv.fr/api/sirene/v3/unites_legales/326259033,External service called,pcapi.utils.requests,116216,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,64cd6c88bc,high-latency-api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:15:19.017834363Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-high-latency-api-64cd6c88bc-96t4b,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:15:18.268055030Z,198c51db-dfa9-449a-907e-52fb0cdc0d38
vmxpv8g4icmiq4,0.111594,200,https://entreprise.data.gouv.fr/api/sirene/v3/unites_legales/382779387,External service called,pcapi.utils.requests,,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:13:24.014171273Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:13:23.886694039Z,71cfe7e4-03ba-49aa-96d4-184e8fa4337d
1js2rihg4hjbilc,0.065389,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782820338501_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-1d9bbe60-3o17,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T11:48:40.040380431Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-9rhd6,passculture-metier-prod,k8s_container,INFO,2021-04-27T11:48:36.386485280Z,projects/passculture-metier-prod/traces/d95ab2ac9ca222ea486832a9053b46c1
yevo79g429serb,0.106197,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782820338501_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T11:48:28.012820779Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-27T11:48:27.615718771Z,projects/passculture-metier-prod/traces/265fd9695448b3f0ee2157a8fe95fb00
h7rp3jg493vpag,0.110881,200,https://media.cultura.com/media/catalog/product/cache/1/image/1000x1000/9df78eab33525d08d6e5fb8d27136e95/b/e/bescherelle-francais-college-6e-5e-4e-3e-grammaire-orthographe-conjugaison-vocab-9782401063457_0.jpg?t=1600069774,External service called,pcapi.utils.requests,14756,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T11:47:38.013986656Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-27T11:47:34.303935676Z,projects/passculture-metier-prod/traces/558260b49b982a28d7d0cd5c19ebee9a
1orq5oxg4i2c5x9,0.114932,200,https://media.cultura.com/media/catalog/product/cache/1/image/1000x1000/9df78eab33525d08d6e5fb8d27136e95/b/e/bescherelle-francais-college-6e-5e-4e-3e-grammaire-orthographe-conjugaison-vocab-9782401063457_0.jpg?t=1600069774,External service called,pcapi.utils.requests,14756,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T11:47:33.015272574Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-27T11:47:32.871811246Z,projects/passculture-metier-prod/traces/2e4c974eea425eac526432d4309b974b
1trdf6gg4hy6ldq,0.12078,200,https://media.cultura.com/media/catalog/product/cache/1/image/1000x1000/9df78eab33525d08d6e5fb8d27136e95/b/e/bescherelle-francais-college-6e-5e-4e-3e-grammaire-orthographe-conjugaison-vocab-9782401063457_0.jpg?t=1600069774,External service called,pcapi.utils.requests,14756,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T11:47:24.012691038Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-27T11:47:19.908999945Z,projects/passculture-metier-prod/traces/aa7dc9f17acf6348ba6b08365cc2a6ff
